date,eua_eur_t
2024-01-01,32.00873565673828
2024-01-02,32.00873565673828
2024-01-03,32.48280715942383
2024-01-04,32.20930480957031
2024-01-05,32.428104400634766
2024-01-06,32.428104400634766
2024-01-07,32.428104400634766
2024-01-08,31.24293327331543
2024-01-09,31.224699020385742
2024-01-10,30.814449310302734
2024-01-11,30.10334587097168
2024-01-12,29.483409881591797
2024-01-13,29.483409881591797
2024-01-14,29.483409881591797
2024-01-15,29.483409881591797
2024-01-16,29.24637794494629
2024-01-17,28.81789207458496
2024-01-18,28.73583984375
2024-01-19,28.95464324951172
2024-01-20,28.95464324951172
2024-01-21,28.95464324951172
2024-01-22,28.517040252685547
2024-01-23,28.672025680541992
2024-01-24,29.428709030151367
2024-01-25,28.808774948120117
2024-01-26,28.69937515258789
2024-01-27,28.69937515258789
2024-01-28,28.69937515258789
2024-01-29,28.26177215576172
2024-01-30,28.85435676574707
2024-01-31,28.89994239807129
2024-02-01,28.681140899658203
2024-02-02,28.918174743652344
2024-02-03,28.918174743652344
2024-02-04,28.918174743652344
2024-02-05,28.58085823059082
2024-02-06,28.681140899658203
2024-02-07,28.389406204223633
2024-02-08,27.997386932373047
2024-02-09,27.559785842895508
2024-02-10,27.559785842895508
2024-02-11,27.559785842895508
2024-02-12,27.04013442993164
2024-02-13,26.8031005859375
2024-02-14,26.7757511138916
2024-02-15,27.27716827392578
2024-02-16,26.939849853515625
2024-02-17,26.939849853515625
2024-02-18,26.939849853515625
2024-02-19,26.939849853515625
2024-02-20,26.21963119506836
2024-02-21,26.374616622924805
2024-02-22,26.028179168701172
2024-02-23,26.055530548095703
2024-02-24,26.055530548095703
2024-02-25,26.055530548095703
2024-02-26,26.21963119506836
2024-02-27,26.693700790405273
2024-02-28,27.076602935791016
2024-02-29,26.885149002075195
2024-03-01,26.903383255004883
2024-03-02,26.903383255004883
2024-03-03,26.903383255004883
2024-03-04,27.031017303466797
2024-03-05,27.82417106628418
2024-03-06,27.47773551940918
2024-03-07,27.751237869262695
2024-03-08,27.38656997680664
2024-03-09,27.38656997680664
2024-03-10,27.38656997680664
2024-03-11,26.711933135986328
2024-03-12,26.903383255004883
2024-03-13,26.00994873046875
2024-03-14,26.912500381469727
2024-03-15,27.313634872436523
2024-03-16,27.313634872436523
2024-03-17,27.313634872436523
2024-03-18,27.723888397216797
2024-03-19,27.77858543395996
2024-03-20,27.76947021484375
2024-03-21,27.56890296936035
2024-03-22,28.05208969116211
2024-03-23,28.05208969116211
2024-03-24,28.05208969116211
2024-03-25,28.72672462463379
2024-03-26,28.097671508789062
2024-03-27,28.12502098083496
2024-03-28,28.042972564697266
2024-03-29,28.042972564697266
2024-03-30,28.042972564697266
2024-03-31,28.042972564697266
2024-04-01,28.079439163208008
2024-04-02,27.21335220336914
2024-04-03,26.885149002075195
2024-04-04,26.94896697998047
2024-04-05,27.578020095825195
2024-04-06,27.578020095825195
2024-04-07,27.578020095825195
2024-04-08,28.207073211669922
2024-04-09,28.5352725982666
2024-04-10,28.05208969116211
2024-04-11,29.6292781829834
2024-04-12,30.230979919433594
2024-04-13,30.230979919433594
2024-04-14,30.230979919433594
2024-04-15,29.711328506469727
2024-04-16,30.69593048095703
2024-04-17,29.911897659301758
2024-04-18,30.121580123901367
2024-04-19,29.446943283081055
2024-04-20,29.446943283081055
2024-04-21,29.446943283081055
2024-04-22,28.918174743652344
2024-04-23,28.991107940673828
2024-04-24,29.100507736206055
2024-04-25,29.565462112426758
2024-04-26,29.364891052246094
2024-04-27,29.364891052246094
2024-04-28,29.364891052246094
2024-04-29,28.8817081451416
2024-04-30,29.6292781829834
2024-05-01,29.474294662475586
2024-05-02,30.860031127929688
2024-05-03,30.723281860351562
2024-05-04,30.723281860351562
2024-05-05,30.723281860351562
2024-05-06,31.224699020385742
2024-05-07,30.48624610900879
2024-05-08,30.759750366210938
2024-05-09,31.297636032104492
2024-05-10,30.650346755981445
2024-05-11,30.650346755981445
2024-05-12,30.650346755981445
2024-05-13,30.167163848876953
2024-05-14,30.331262588500977
2024-05-15,30.285680770874023
2024-05-16,30.96031379699707
2024-05-17,30.83268165588379
2024-05-18,30.83268165588379
2024-05-19,30.83268165588379
2024-05-20,31.844636917114258
2024-05-21,32.227535247802734
2024-05-22,32.44633865356445
2024-05-23,32.400753021240234
2024-05-24,32.537506103515625
2024-05-25,32.537506103515625
2024-05-26,32.537506103515625
2024-05-27,32.537506103515625
2024-05-28,32.227535247802734
2024-05-29,31.963153839111328
2024-05-30,32.09990310668945
2024-05-31,31.762584686279297
2024-06-01,31.762584686279297
2024-06-02,31.762584686279297
2024-06-03,31.817285537719727
2024-06-04,30.83268165588379
2024-06-05,30.440664291381836
2024-06-06,30.814449310302734
2024-06-07,30.440664291381836
2024-06-08,30.440664291381836
2024-06-09,30.440664291381836
2024-06-10,30.331262588500977
2024-06-11,30.075998306274414
2024-06-12,30.30391502380371
2024-06-13,30.340377807617188
2024-06-14,29.592809677124023
2024-06-15,29.592809677124023
2024-06-16,29.592809677124023
2024-06-17,29.528993606567383
2024-06-18,29.6292781829834
2024-06-19,29.6292781829834
2024-06-20,29.620162963867188
2024-06-21,29.219026565551758
2024-06-22,29.219026565551758
2024-06-23,29.219026565551758
2024-06-24,29.26460838317871
2024-06-25,29.519878387451172
2024-06-26,29.38312530517578
2024-06-27,29.392244338989258
2024-06-28,29.66574478149414
2024-06-29,29.66574478149414
2024-06-30,29.66574478149414
2024-07-01,29.90277862548828
